original_path,processed_path,class,class_idx,original_size,processed_size,mode
full_guit\raw\acoustic\68291aff48211_yamaha_ll6are_натуральный_Статический.jpg,full_guit\processed\acoustic\68291aff48211_yamaha_ll6are_натуральный_Статический.png,acoustic,0,"(2500, 6048)","(64, 64)",L
full_guit\raw\acoustic\cort_earthmini.jpg,full_guit\processed\acoustic\cort_earthmini.png,acoustic,0,"(367, 137)","(64, 64)",L
full_guit\raw\acoustic\crafter_ta050am.jpg,full_guit\processed\acoustic\crafter_ta050am.png,acoustic,0,"(500, 225)","(64, 64)",L
full_guit\raw\acoustic\epiphone_hummingbird.jpg,full_guit\processed\acoustic\epiphone_hummingbird.png,acoustic,0,"(892, 366)","(64, 64)",L
full_guit\raw\acoustic\epiphone_hummingbird_Натуральный_Статический.jpg,full_guit\processed\acoustic\epiphone_hummingbird_Натуральный_Статический.png,acoustic,0,"(950, 387)","(64, 64)",L
full_guit\raw\acoustic\epiphone_hummingbird_чёрный_Статический.jpg,full_guit\processed\acoustic\epiphone_hummingbird_чёрный_Статический.png,acoustic,0,"(892, 366)","(64, 64)",L
full_guit\raw\acoustic\ibanez_pc18mh.jpg,full_guit\processed\acoustic\ibanez_pc18mh.png,acoustic,0,"(700, 275)","(64, 64)",L
full_guit\raw\acoustic\ibanez_pc18mh_Натуральный_Статический.jpg,full_guit\processed\acoustic\ibanez_pc18mh_Натуральный_Статический.png,acoustic,0,"(390, 129)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003425 (2).jpg,full_guit\processed\acoustic\IMG20251211003425 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003425.jpg,full_guit\processed\acoustic\IMG20251211003425.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003433 (2).jpg,full_guit\processed\acoustic\IMG20251211003433 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003433.jpg,full_guit\processed\acoustic\IMG20251211003433.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003442 (2).jpg,full_guit\processed\acoustic\IMG20251211003442 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003442.jpg,full_guit\processed\acoustic\IMG20251211003442.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003524 (2).jpg,full_guit\processed\acoustic\IMG20251211003524 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
