path,class,split_type
full_guit_aug\train\acoustic\IMG20251211003442 (2).png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003646 (2).png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003650.png,acoustic,train
full_guit_aug\train\acoustic\ibanez_pc18mh_Натуральный_Статический.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003529 (2).png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003547.png,acoustic,train
full_guit_aug\train\acoustic\407117.970.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003650 (2).png,acoustic,train
full_guit_aug\train\acoustic\epiphone_hummingbird_Натуральный_Статический.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003433 (2).png,acoustic,train
full_guit_aug\train\acoustic\68291aff48211_yamaha_ll6are_натуральный_Статический.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003643 (2).png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003543 (2).png,acoustic,train
full_guit_aug\train\acoustic\cort_earthmini.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003643.png,acoustic,train
full_guit_aug\train\acoustic\pw_310m_ns_akusticheskaya_gitara_s_keysom_l_1_0.png,acoustic,train
full_guit_aug\train\acoustic\crafter_ta050am.png,acoustic,train
full_guit_aug\train\acoustic\pm_main_ag_pf_us (1).png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003547 (2).png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003646.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003425.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003543.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003529.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003538.png,acoustic,train
full_guit_aug\train\acoustic\ibanez_pc18mh.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003442.png,acoustic,train
full_guit_aug\train\acoustic\IMG20251211003637.png,acoustic,train
full_guit_aug\train\acoustic\s-l960.png,acoustic,train
full_guit_aug\val\acoustic\IMG20251211003524.png,acoustic,val
full_guit_aug\val\acoustic\IMG20251211003425 (2).png,acoustic,val
full_guit_aug\val\acoustic\epiphone_hummingbird.png,acoustic,val
full_guit_aug\val\acoustic\IMG20251211003637 (2).png,acoustic,val
full_guit_aug\val\acoustic\IMG20251211003631.png,acoustic,val
full_guit_aug\val\acoustic\p_region_PN12E_VMS_3U_09.png,acoustic,val
full_guit_aug\test\acoustic\IMG20251211003631 (2).png,acoustic,test
full_guit_aug\test\acoustic\epiphone_hummingbird_чёрный_Статический.png,acoustic,test
full_guit_aug\test\acoustic\IMG20251211003538 (2).png,acoustic,test
full_guit_aug\test\acoustic\Снимок2.png,acoustic,test
full_guit_aug\test\acoustic\IMG20251211003433.png,acoustic,test
full_guit_aug\test\acoustic\IMG20251211003524 (2).png,acoustic,test
full_guit_aug\train\lespaul\IMG20251211003300 (2).png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003352 (2).png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003354.png,lespaul,train
full_guit_aug\train\lespaul\custom-shop-les-paul-custom-1957-reissue-2-pickup-2019-eb-hd-161301.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003307 (2).png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003320.png,lespaul,train
full_guit_aug\train\lespaul\1744574_2.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003354 (2).png,lespaul,train
full_guit_aug\train\lespaul\68291a9e9e5e9_666182bc43da0_gibson_lespaul.png,lespaul,train
full_guit_aug\train\lespaul\gibson-les-paul-standard-60s-unburst-gitara-elektricna.png,lespaul,train
full_guit_aug\train\lespaul\21da0714-22f5-4172-8198-a16708d981d8.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003344 (2).png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003314 (2).png,lespaul,train
full_guit_aug\train\lespaul\2e9d834ba08d42b84116078aff22eac5.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003344.png,lespaul,train
full_guit_aug\train\lespaul\LPS6P00M2NH1_front.png,lespaul,train
full_guit_aug\train\lespaul\4_Красный_Tune-o-Matic.png,lespaul,train
full_guit_aug\train\lespaul\l0jwhfbesaqcq4ztciqm85ouablzsjro.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003320 (2).png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003352.png,lespaul,train
full_guit_aug\train\lespaul\ekyf4o4slxy3e8bijl2s3f7j9a9v13yy.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003314.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003307.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003310.png,lespaul,train
full_guit_aug\train\lespaul\clear_660108_1.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003300.png,lespaul,train
full_guit_aug\train\lespaul\IMG20251211003336.png,lespaul,train
full_guit_aug\train\lespaul\scale_1200.png,lespaul,train
full_guit_aug\val\lespaul\IMG20251211003304.png,lespaul,val
full_guit_aug\val\lespaul\df3eee53c93ee208149679b70d5e390e.png,lespaul,val
full_guit_aug\val\lespaul\608.png,lespaul,val
full_guit_aug\val\lespaul\IMG20251211003336 (2).png,lespaul,val
full_guit_aug\val\lespaul\IMG20251211003325.png,lespaul,val
full_guit_aug\val\lespaul\s-l400.png,lespaul,val
full_guit_aug\test\lespaul\IMG20251211003325 (2).png,lespaul,test
full_guit_aug\test\lespaul\beauty-banner-1600_900.png,lespaul,test
full_guit_aug\test\lespaul\IMG20251211003310 (2).png,lespaul,test
full_guit_aug\test\lespaul\screen_shot_20140611_at_11.04.27_am_0_657.png,lespaul,test
full_guit_aug\test\lespaul\image.png,lespaul,test
full_guit_aug\test\lespaul\IMG20251211003304 (2).png,lespaul,test
full_guit_aug\train\stratocaster\IMG20251211003025 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003108 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003115.png,stratocaster,train
