path,class,split_type
photo_guit_aug\train\acoustic\IMG20251211003646.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003442.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003433 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003543 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003547.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003433.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003442 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003650 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003631.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003646 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003650.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003524.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003538 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003547 (2).png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003643.png,acoustic,train
photo_guit_aug\train\acoustic\IMG20251211003524 (2).png,acoustic,train
photo_guit_aug\val\acoustic\IMG20251211003425 (2).png,acoustic,val
photo_guit_aug\val\acoustic\IMG20251211003538.png,acoustic,val
photo_guit_aug\val\acoustic\IMG20251211003643 (2).png,acoustic,val
photo_guit_aug\val\acoustic\IMG20251211003543.png,acoustic,val
photo_guit_aug\test\acoustic\IMG20251211003631 (2).png,acoustic,test
photo_guit_aug\test\acoustic\IMG20251211003529.png,acoustic,test
photo_guit_aug\test\acoustic\IMG20251211003529 (2).png,acoustic,test
photo_guit_aug\test\acoustic\IMG20251211003425.png,acoustic,test
photo_guit_aug\train\lespaul\IMG20251211003352.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003307.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003304 (2).png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003325 (2).png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003328.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003304.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003307 (2).png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003354 (2).png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003336.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003352 (2).png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003354.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003310.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003320 (2).png,lespaul,train
